0	Čestitke :)	Acceptable speech	Acceptable	No target	lgbt
1	Katolici,katolici vjernici toliko mržnj još će netko pomisliti koliko smo nasilni i koliko mrzimo,neka bude tko šta hoće,to je sada moderno	Other offensive	Offensive	Other	lgbt
2	Potpisujem komentar g ankice pavicic	Acceptable speech	Acceptable	No target	lgbt
3	Mario kako nisi prvi u redu 😂😂😂	Acceptable speech	Acceptable	No target	lgbt
4	Budale,,,, svasta majka rodi	Background offensive	Offensive	Topic	lgbt
5	Nabijen ih sve skupa tj necu im pruzit taj uzitaj	Background offensive	Offensive	Topic	lgbt
6	Kurac je Nama rat zavrsen dok neki ljudi gladuju , I dok nam ispred nosa pederi paradiraju I unistavaju mlade	Background offensive	Offensive	Topic	lgbt
7	DEMONkracija	Background offensive	Offensive	Topic	lgbt
8	Draga Martina, slazem se da je crkva takva kakva je i da religija odavno ne ispunjava svoju svrhu. No, poanta price je da upravo takvi ljudi koji trebaju biti primjer i poucavati druge o moralu i Bogu rade krivo. Vidis, ne treba vjerovati starcima u haljama koji diraju djecu. Ako si vjernik, treba se zapitati sto bi Krist ucinio na tvom mjestu. Jer zna se da je crkva jedno a vjera sasvim drugo. Crkva kao institucija ne radi ono sto treba i odlutala je od pravog izvora. Ljudi zbog nje okrecu ledja Bogu, Bibliju smatraju zastarjelom knjigom punom bajki, legendi i mitova...kad bi se doista ljudi pozabavili Bogom i onime sto trazi od ljudi, vidjeli bi da stvarno nema veze s crkvom. Krist nikog nije osudjivao niti mrzio, takodjer je dao zivot za sve ljude. Ipak ucio je odredjenim stvarima, no nikog nije stavljao na lomacu. Dok je crkva uvijek bila na strani onih koji su napadali ili je sama napadala. Zapitajte se napadate li Boga ili crkvu jer su 2 pojma. Josip Bajan	Other offensive	Offensive	No target	lgbt
9	Nemam ništa protiv nikog.Al gledajuci slike tih ljudi...užas.Pojedine nemožes gledat na što liče.Al njihov izbor nek uživaju ako im je to ok.Meni osobno užas.	Background offensive	Offensive	Topic	lgbt
10	Fuj, imaju se sa ćime i ponositi pušaći kur..va i lizaćice pić..a	Background offensive	Offensive	Topic	lgbt
11	Dabogda ti sin zeta doveo	Acceptable speech	Acceptable	No target	lgbt
12	Kao i HVO plaćenici	Other offensive	Offensive	Other	lgbt
13	hahahah Vanja :)))	Acceptable speech	Acceptable	No target	lgbt
14	a pedofili nisu bolesni ajmo njih ljeciti samo reci metodu isto tako sam frojd je tvrdio i danas neki crkvenjaci tvrde da je ljubav mentalna bolest koja se ljeci elektrosokovima pa ajmo onda pocet od tebe javno pa da se dokaze da je istina frende ak ti smeta odi u sibir afrikiu ili gdje oces ne zivis u 14stoljecu okreni se oko sebe i spusti se na zemlju sramotis se	Other offensive	Offensive	Commenter	lgbt
15	Ne postoji balkanizam ni region, ovo je Hrvatska.	Acceptable speech	Acceptable	No target	lgbt
16	Vjere svih boja i oblika su izvor svih zala!	Other offensive	Offensive	Other	lgbt
17	zasto ih ignoritat????? ma daj me nemoj zezat!!!!!	Acceptable speech	Acceptable	No target	lgbt
18	Svima vama zelim samo jedno.....gay djecu. Mozda se nesto pozitivno dogodi u vasem mozgu	Other offensive	Offensive	No target	lgbt
19	Jadno!	Acceptable speech	Acceptable	No target	lgbt
